blocks;minecraft:air;minecraft:amethyst_block;minecraft:amethyst_cluster;minecraft:andesite;minecraft:azalea;minecraft:barrel;minecraft:bedrock;minecraft:big_dripleaf;minecraft:big_dripleaf_stem;minecraft:birch_fence;minecraft:birch_planks;minecraft:birch_slab;minecraft:birch_stairs;minecraft:black_stained_glass;minecraft:blue_bed;minecraft:bubble_column;minecraft:budding_amethyst;minecraft:calcite;minecraft:candle;minecraft:cave_air;minecraft:cave_vines;minecraft:cave_vines_plant;minecraft:chain;minecraft:chest;minecraft:chiseled_sandstone;minecraft:chiseled_stone_bricks;minecraft:chiseled_tuff;minecraft:chiseled_tuff_bricks;minecraft:clay;minecraft:coal_ore;minecraft:cobbled_deepslate;minecraft:cobblestone;minecraft:cobweb;minecraft:copper_ore;minecraft:crafting_table;minecraft:crying_obsidian;minecraft:cut_sandstone;minecraft:dark_oak_log;minecraft:dark_oak_planks;minecraft:dark_oak_stairs;minecraft:dark_oak_trapdoor;minecraft:decorated_pot;minecraft:deepslate;minecraft:deepslate_coal_ore;minecraft:deepslate_copper_ore;minecraft:deepslate_diamond_ore;minecraft:deepslate_gold_ore;minecraft:deepslate_iron_ore;minecraft:deepslate_lapis_ore;minecraft:deepslate_redstone_ore;minecraft:diamond_ore;minecraft:diorite;minecraft:dirt;minecraft:dispenser;minecraft:flower_pot;minecraft:flowering_azalea;minecraft:glow_lichen;minecraft:gold_block;minecraft:gold_ore;minecraft:granite;minecraft:grass_block;minecraft:gravel;minecraft:gray_bed;minecraft:hopper;minecraft:iron_ore;minecraft:kelp;minecraft:kelp_plant;minecraft:ladder;minecraft:lapis_ore;minecraft:large_amethyst_bud;minecraft:lava;minecraft:light_blue_terracotta;minecraft:magenta_bed;minecraft:magma_block;minecraft:medium_amethyst_bud;minecraft:moss_block;minecraft:moss_carpet;minecraft:mossy_cobblestone;minecraft:mossy_stone_brick_slab;minecraft:mossy_stone_brick_stairs;minecraft:netherrack;minecraft:oak_button;minecraft:oak_fence;minecraft:oak_leaves;minecraft:oak_log;minecraft:oak_planks;minecraft:oak_pressure_plate;minecraft:oak_slab;minecraft:oak_stairs;minecraft:oak_trapdoor;minecraft:oak_wood;minecraft:obsidian;minecraft:packed_ice;minecraft:polished_granite;minecraft:polished_tuff;minecraft:polished_tuff_slab;minecraft:potted_dead_bush;minecraft:purple_bed;minecraft:raw_copper_block;minecraft:raw_iron_block;minecraft:red_bed;minecraft:red_candle;minecraft:red_glazed_terracotta;minecraft:redstone_ore;minecraft:sand;minecraft:sandstone;minecraft:sea_lantern;minecraft:seagrass;minecraft:short_grass;minecraft:small_amethyst_bud;minecraft:small_dripleaf;minecraft:smooth_basalt;minecraft:spawner;minecraft:spore_blossom;minecraft:spruce_door;minecraft:spruce_fence;minecraft:spruce_planks;minecraft:spruce_stairs;minecraft:spruce_trapdoor;minecraft:stone;minecraft:stone_brick_stairs;minecraft:stone_bricks;minecraft:suspicious_sand;minecraft:tall_grass;minecraft:tall_seagrass;minecraft:trial_spawner;minecraft:tuff;minecraft:tuff_bricks;minecraft:vault;minecraft:vine;minecraft:wall_torch;minecraft:water;minecraft:waxed_chiseled_copper;minecraft:waxed_copper_block;minecraft:waxed_copper_bulb;minecraft:waxed_copper_door;minecraft:waxed_copper_grate;minecraft:waxed_cut_copper;minecraft:waxed_cut_copper_slab;minecraft:waxed_cut_copper_stairs;minecraft:waxed_exposed_copper_bulb;minecraft:waxed_oxidized_chiseled_copper;minecraft:waxed_oxidized_copper;minecraft:waxed_oxidized_copper_bulb;minecraft:waxed_oxidized_copper_door;minecraft:waxed_oxidized_copper_grate;minecraft:waxed_oxidized_copper_trapdoor;minecraft:waxed_oxidized_cut_copper;minecraft:waxed_oxidized_cut_copper_slab;minecraft:waxed_oxidized_cut_copper_stairs;minecraft:waxed_weathered_copper_bulb;minecraft:white_stained_glass
-64;0;0;0;0;0;0;256768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-63;1;0;0;0;0;0;205136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47087;0;0;108;39;26;30;269;0;0;0;0;0;0;0;0;0;0;0;812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-62;1;0;0;0;0;0;153746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92883;0;0;236;125;62;59;563;0;0;0;0;0;0;0;0;0;0;0;1573;0;0;0;0;0;0;0;0;404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-61;0;0;0;0;0;0;102272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138974;0;0;347;154;74;75;827;0;0;0;0;0;0;0;0;0;0;0;2291;0;0;0;0;0;0;0;0;970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10783;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-60;1;0;0;0;0;0;51494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183929;0;0;479;196;94;81;1081;0;0;0;0;0;0;0;0;0;0;0;3092;0;0;0;0;0;0;0;0;1919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-59;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228821;0;0;611;221;141;133;1251;0;0;0;0;0;0;0;0;0;0;0;4041;0;0;0;0;0;0;0;0;3090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-58;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227780;0;0;631;255;145;122;1249;0;0;0;0;0;0;0;0;0;0;0;4159;0;0;0;0;0;0;0;0;3614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225737;0;0;598;283;200;140;1280;0;0;0;0;0;0;0;0;0;0;0;4132;0;0;0;0;0;0;0;0;5152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223770;0;0;608;326;202;160;1263;0;0;0;0;0;0;0;0;0;0;0;3882;0;0;0;0;0;0;0;0;7132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19422;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222935;0;0;609;303;185;138;1150;0;0;0;0;0;0;0;0;0;0;0;3894;0;0;0;0;0;0;0;0;7698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
